Club,Description,Picture
 American Nuclear Society: Stevens Chapter ,"The American Nuclear Society strives to help educate the student body on the past, present, and future of nuclear power  and distribute knowledge about the technology that drives it",https://se-images.campuslabs.com/clink/images/026a27f1-51b2-4933-b365-030fa976cccb28413474-e9ed-426e-9d46-72732ded7b6e.jpg?preset=small-sq
 American Society for Engineering Management ,The ASEM Student Chapter exists to assist its members in developing and improving their skills as practicing managers of engineering and technology. We strive to uphold the ASEM Mission statement: Promote the development and practice of the engineering...,https://se-images.campuslabs.com/clink/images/1557ad43-b97b-470d-ad83-921ace1b4fc81e10ad14-7c59-4d85-936d-00ee6fa25ba5.png?preset=small-sq
 American Society of Civil Engineers ,"The Mission of the American Society of Civil Engineers is to provide essential value to our members and partners, advance civil engineering, and serve the public good.The Stevens Institute of Technology Student Chapter aims to serve the Stevens Communi...",https://se-images.campuslabs.com/clink/images/38bd72dd-2772-423e-bc6b-ea535eb409fdee864b31-aac1-4b2d-bc75-c640175b5b7a.png?preset=small-sq
 American Society of Mechanical Engineers ,The purpose of Stevens ASME is to promote the growth of its members and the art of mechanical engineering within the Stevens community and beyond. ,https://se-images.campuslabs.com/clink/images/084533f8-fe31-4cdf-8ae2-fd93f07d65545c7e9a84-1e95-4d0b-a34f-1f1ba3bf829f.jpg?preset=small-sq
 Amnesty International ,"Amnesty International is a global organization founded in 1961, comprised of more than 7 million people from over 160 countries, that campaigns for human rights through grassroots activism.",https://se-images.campuslabs.com/clink/images/0b66ed4a-279a-4241-a170-175d7970a496c56dca41-cd78-4b90-977d-5a76653dbe9f.jpg?preset=small-sq
 Anime Club ,The purpose of the Stevens Anime Club is to provide entertainment to the student body as well as the general public in the form of Japanese animation and movies. We meet every Friday at 9PM. Join our Discord! https://discord.gg/MY8ny7c,https://se-images.campuslabs.com/clink/images/ff84a74c-2f0c-43eb-80ff-9eeb76322f50a5000778-cc29-453f-b1c7-c028bee5e8be.png?preset=small-sq
 Art Installations Club ,"Art Installations Club's goal is to spread an appreciation for art through activities like workshops, museum trips, and other hands-on experiences. All skill levels are welcome!								",https://se-images.campuslabs.com/clink/images/d5ba1013-2169-4169-95d7-b5c87784e0a602d23b1c-45f9-4a9a-a5bb-388d22145065.png?preset=small-sq
 Association of Latino Professionals for America  ,The Association of Latino Professionals for America is a Latino based but not exclusive National Professional Business Society. ,https://se-images.campuslabs.com/clink/images/1f21bf95-3f3a-4991-98c3-ad91de4d4efadacdffd8-4338-495e-a96b-1797ca1a4710.png?preset=small-sq
 Attila Entrepreneurs ,Undergraduate Entrepreneurship Club,https://se-images.campuslabs.com/clink/images/13576329-80ca-4ce3-a1d1-0aa4a3e2256939fad83c-2d96-4c15-9ee7-c41c16e38d04.PNG?preset=small-sq
 Audio Engineering Club ,"We are a group of individuals who are passionate about audio engineering. Whether you are an aspiring engineer, musician, or someone who just loves music, there is something for you here!",https://se-images.campuslabs.com/clink/images/4e30ddc7-7aae-44c1-92d7-a2594588f9804d411ee2-616e-4a4c-b19a-e983859635db.png?preset=small-sq
 Badminton Club  ,"We're a recreational club that strives to unite badminton enthusiasts on campus and provide weekly open court times so that everyone can refine their skills, and organize monthly competitive tournaments. We welcome players of all levels! ",https://se-images.campuslabs.com/clink/images/6c1ce703-102f-4274-8e00-d04e7945c3451925454b-a8cc-43f5-9d37-cf7ff36d09c8.jpg?preset=small-sq
 Baseball  ,Baseball ,
 Beta Theta Pi (Currently on University Probation) ,"The Beta Theta Pi fraternity was established as a part of the Stevens community in 1879, now occupying its residence at 812 Castle Point Terrace. Our chapter's motto is ""Self-Control"" and we have 50 actives who all practice Beta's core values every day.",https://se-images.campuslabs.com/clink/images/e09ec0bf-7511-4ee0-93f7-9828624f45c515aab32d-c5dd-41e9-9fb0-02a8a2fe82a0.jpg?preset=small-sq
 Biomedical Engineering Society ,The Biomedical Engineering Society of Stevens connects undergraduate students to understand more about the biomedical engineering field.,https://se-images.campuslabs.com/clink/images/6a2a11f8-bf38-4976-9584-5d310901a86b398b5667-67c7-4bce-af3a-dea4b3146f3e.jpg?preset=small-sq
 Black Student Union ,"The purpose of the Black Student Union (BSU) of Stevens Institute of Technology is to embrace, enrich, and empower ourselves and our community through education, respect, and unity.",https://se-images.campuslabs.com/clink/images/1e7e20df-c2bb-4964-aa6b-ac9c3d6bfe49916afeae-5c44-4452-bc99-5e70bfa018bb.png?preset=small-sq
 Blueprint ,Stevens Blueprint is a student-run organization dedicated to creating technology for social good. We form teams of student developers and create free projects for non-profit 501(c)(3) organizations in order to support them in their missions.,https://se-images.campuslabs.com/clink/images/f5f22650-f087-4b7d-9562-5e4803c4840f4e9c3592-a96d-4fd7-9e8c-9fb1572559af.png?preset=small-sq
 Bowling  ,Bowling ,https://se-images.campuslabs.com/clink/images/3c2f233d-a771-4e02-bdee-77b9cfe22125619ba399-b3d0-4b75-abc7-836f22a774cd.jpg?preset=small-sq
 Bowling Alley ,Stevens Bowling Alley is Located in the Basement of the Howe Center.,https://se-images.campuslabs.com/clink/images/5e894fc5-42ec-4e39-b641-cc177f4a0dd9ae687274-7a11-4aba-a415-c18b801624ab.png?preset=small-sq
 Campus Life Committee ,Campus Life Committee is a committee of the SGA and serves to improve the overall student life on campus. The committee meets weekly and is open to all undergraduate students! If you have a great idea for any campus improvement come on by a meeting!,https://se-images.campuslabs.com/clink/images/8cd8def2-7f08-456c-9289-4bbcab73f707cd528e0e-cd4c-40a5-8925-3d505e54b5c8.png?preset=small-sq
 Castle Point Anime Convention ,"CPAC is an annual celebration of Japanese anime and culture. We meet weekly on Wednesdays at 9:15 in BC 320, come help us plan CPAC!",https://se-images.campuslabs.com/clink/images/8693b496-2b7b-476d-9785-46cbf51e4773db965a9d-1e33-4bcb-9686-97dda18d1bae.png?preset=small-sq
" Chi Epsilon, Civil Engineering Honor Society ","Chi Epsilon, the civil engineering honor society, was founded in 1922 to recognize and honor civil engineering students and professionals across the United States. Chi Epsilon is dedicated to the purpose of maintaining and promoting the status of civil...",https://se-images.campuslabs.com/clink/images/3ad6ec47-e687-473c-9b7d-6e5edfbd40ce2aa94326-7fff-49be-81fb-55684be0a13f.jpg?preset=small-sq
 Chi Phi ,"Building better men through lifelong friendships, leadership opportunities, and character development since 1883.",https://se-images.campuslabs.com/clink/images/1b944729-3bfd-44af-92a5-b0cb5288081881b25e4e-293f-448b-8951-63e0861d7e70.png?preset=small-sq
 Chi Psi Fraternity ,"A Lodger is, first and foremost, a gentleman. This cardinal rule provides a guideline for Brothers’ every day lives and the way the Alpha is run. Mutual respect creates a unique and extremely strong brotherhood. Brothers are expected to carry their gen...",https://se-images.campuslabs.com/clink/images/092124c7-0ede-49e9-9a2f-eb5bad1b30beec50ce81-ba76-43ab-a68e-7b0b44fa6b56.gif?preset=small-sq
 Chinese Student Association ,"The Chinese Student Association (CSA) is an ethnic organization geared towards promoting understanding of the Chinese culture to all members of the Stevens community. Through unique celebrations and events, we aim to share our love of Chinese culture.",https://se-images.campuslabs.com/clink/images/af4f3c71-5e33-44d5-9956-2730c191c62efcc1942a-1dab-4350-be55-f30280183aa0.png?preset=small-sq
 Climbing ,Club Rock Climbing Team at Stevens Institute of Technology,https://se-images.campuslabs.com/clink/images/2b8e1c98-f99b-42cc-844d-dabb1b4dd3274bdc850f-1b0a-446a-ae4f-282831fd1038.png?preset=small-sq
 Club Ski and Snowboard ,Please complete,
 College Democrats ,"We, the College Democrats, dedicate ourselves to organizing college students from across the nation in order to encourage and develop the participation of young Americans in the political process and the Democratic Party.",https://se-images.campuslabs.com/clink/images/b726d6ad-f16d-43c0-9bff-08dd2055fa156a7f44c3-0f5e-47cc-842c-c696eb2901d8.png?preset=small-sq
 College Republicans ,"We are an organization that seeks to promote and give a platform for conservative values, provide information on local and national politics, and create opportunities for students to become involved in the political process.",https://se-images.campuslabs.com/clink/images/748d878d-88e2-4de0-8dd3-9b7f0de5ad1303de7756-1652-4f08-99a4-8cbc453ddc1a.jpg?preset=small-sq
 Colleges Against Cancer ,"Colleges Against Cancer shares hope by helping people stay well, helping people get well, by finding cures, and by fighting back. Colleges Against Cancer uses tools and creativity to initiate and support programs that help with prevention of cancer.",https://se-images.campuslabs.com/clink/images/fe48fc75-db01-4436-9a96-bb50905aa140f4e16c8d-8b5d-4a2a-9bb6-a73f3241d762.png?preset=small-sq
 Commuter Student Union ,The Commuter Student Union is open to all students and is designed to represent and assist Stevens commuter students,https://se-images.campuslabs.com/clink/images/1d569b43-28e2-4615-998e-5ab5216cf771ba55a803-00c3-437f-9bdc-028581124ac2.png?preset=small-sq
 Computer and Console Gaming Society ,"The Computer and Console Gaming Society was started by King Arthur when, after a near-death experience, he realized that the round table was the perfect place to play Settlers of Catan. We continue this tradition today in Babbio 122 every Thursday at 9PM.",https://se-images.campuslabs.com/clink/images/f087d40d-bc76-4490-9fed-7dde8520331cf4d4b2f1-cc6e-4d7c-b6d9-eff2768f691a.png?preset=small-sq
 Counseling &amp; Psychological Services ,"Counseling and Psychological Services (CAPS) is a caring group of professional who provide free and confidential personal counseling services to enrolled Stevens students. We help foster growth while also promoting a caring, healthy campus community",https://se-images.campuslabs.com/clink/images/804eefc2-853d-4a96-87e5-c5cca500c12a20c2d443-6431-4ec2-81dd-4cd6bd764027.JPG?preset=small-sq
 Counseling and Psychological Services Peer Educators Program ,"The Peer Educators are a group of educated, dedicated, and motivated peers whose focus is on the well-being of the Stevens community. This motivated group of students work in conjunction with CAPS to bridge the gap between mental, emotional, and physic...",
 Crew  ,Crew,https://se-images.campuslabs.com/clink/images/e51edfae-055f-4f66-894d-3680cfe8a647dd074863-334d-4ca3-aa21-c7d724291c07.png?preset=small-sq
 Cultural Greek Council ,"The governing body for the cultural fraternities &amp; sororities on campus. Currently comprised of 𝚲𝚼𝚲, 𝚴𝚨𝚽, 𝛀𝚽𝚩, 𝚨𝚽𝚨, ΣΨΖ, 𝚲𝚼𝚲, ΛΤΟ, and ΛΣΥ",https://se-images.campuslabs.com/clink/images/f35153ca-77a8-4c5e-b868-c38ec132872778576db1-23ac-4447-94a6-032a2ea1d2e6.png?preset=small-sq
 DeBaun Center of Performing Arts ,"DeBaun Performing Arts Center is comprised of two main areas and encompasses two locations on the Stevens campus-  Grace E. and Kenneth W. DeBaun Auditorium, located in Edwin A. Stevens Hall-  William F. Ondrick Music Room, located on the 4th Floor of ...",
 Delta Phi Epsilon ,"The Epsilon Gamma Chapter of Delta Phi Epsilon proudly stands by its main mission. We do our best to uphold our founding principles among each other, as well as promoting it to the common good around us. ",https://se-images.campuslabs.com/clink/images/e03d49c0-cdd8-48e1-bc64-f4ff663c701f076ae6d0-46ea-4d26-9ae3-199acd66a75d.jpg?preset=small-sq
 Delta Tau Delta ,"Delta Tau Delta Fraternity, Rho Chapter",https://se-images.campuslabs.com/clink/images/2326a677-9970-4ac2-8b5d-1ce38bbcba566922853c-580e-4508-8681-1a8da513dfe2.png?preset=small-sq
" Department of Civil, Environmental and Ocean Engineering  ","The Department of Civil, Environmental and Ocean Engineering (CEOE) offers undergraduate and graduate programs, in addition to a variety of graduate certificates and minors that prepare students to succeed in a variety of fields.",
 Diversity and Inclusion Committee ,"The Diversity &amp; Inclusion Committee of the SGA (DNI) aims to promote advocacy, activism and education in relation to identity. | 🛐🏳️‍🌈✊🏿♿️🚺📊",https://se-images.campuslabs.com/clink/images/176aea23-f149-4d68-a70c-4d5ace5e526ae17e7fbb-dbdb-4ce8-9736-79ce4ec8732e.png?preset=small-sq
 Ducks 4 Democracy Initiative ,"Your vote matters! Ducks 4 Democracy is a program series to encourage Stevens Ducks to be civically engaged, register to vote, get educated about the issues, and cast your ballot on Election Day.",https://se-images.campuslabs.com/clink/images/315f2f4f-d334-4f8e-a687-1430c4ca2465cc06e59b-edca-417c-b57e-16293ef067be.jpg?preset=small-sq
 Engineers Without Borders ,"Engineers Without Borders-USA (EWB-USA) is a non-profit national humanitarian organization focused on the development of sustainable, renewable, and environmentally friendly projects around the world.",https://se-images.campuslabs.com/clink/images/e396f9ed-ff5a-407c-b392-0785e6071eacc257e7ba-8a66-405c-8b56-fc43dfe81c66.jpg?preset=small-sq
 Entertainment Committee ,The purpose of the Entertainment Committee (EC) is to plan engaging on and off campus events that bring the student body together. All undergraduates of Stevens are members of this group. Check this page to stay up to date with event details and signups.,https://se-images.campuslabs.com/clink/images/86e42df8-f687-4421-b3a8-18315be7d41fb088401b-6485-48bb-ba83-b8a0528cfda8.png?preset=small-sq
 Ethnic Student Council ,"ESC is an umbrella organization comprised of various ethnic groups that are devoted to the promotion and celebration of cultural diversity among the student body. Through our events, we foster teamwork and friendship while spreading cultural awareness...",https://se-images.campuslabs.com/clink/images/ecfba799-a94e-44ed-8ecc-176cbc79f180a20750b9-3317-4d78-bf1d-14c9e1a1fa39.jpg?preset=small-sq
 Fashion Association of Marketing and Entrepreneurship ,"Our goal as a club is to help students build professional relationships and networks with workers in the fashion, cosmetics and technology industries.  All majors are welcome to join and will benefit from these experiences! ",https://se-images.campuslabs.com/clink/images/a23da5dc-7168-4143-816d-147799da09ea70793034-3b9d-4628-b6a8-d6cb1efc08c8.png?preset=small-sq
 Filipino Association of Stevens Tech ,"The Filipino Association of Stevens Tech (FAST) was created to promote an understanding of the Filipino culture to the Stevens Community. The main goal of this organization is to create awareness of the Filipino life, the people, and their place in the...",https://se-images.campuslabs.com/clink/images/daa1397f-9b72-432f-8c5a-501292325dae310e22a4-ce1d-46d4-9899-e688a8fd5d54.png?preset=small-sq
" Finance, Investment, and Advisory Society ",Please add summary.,
 FLI Network ,First Generation and/or Limited Income (FLI) Network,https://se-images.campuslabs.com/clink/images/9b859f74-bae2-4711-849d-1da8c60e216a62ffef4f-fbc7-49c3-9c85-f766822c17bc.png?preset=small-sq
 Fraternity and Sorority Life ,Being in FSL means you become a part of a lifelong network of brothers and sisters globally. Stevens' FSL members have secured internships and permanent employment as a result of the networking capacity through their fraternity and sorority associations.,https://se-images.campuslabs.com/clink/images/4b135510-de95-4cd5-bd69-0b00a5e7a8cdf2337b35-80b9-4b3e-92e8-04a562860787.png?preset=small-sq
 Gear &amp; Triangle Society ,"The Gear &amp; Triangle Society is an honorary society founded on the principles of Honor, Fellowship and Spirit. These are essential qualities of the true Stevens student and the successful engineer. The Society was organized in May 1919.",https://se-images.campuslabs.com/clink/images/6d04accf-a384-4ebd-879d-531a21aad4401ea1b7ec-e56b-4804-9b41-f9f3a400e9cd.png?preset=small-sq
 Google Developer Student Club ,"To stay uo to date on our activities, please join us on our official page: https://gdsc.community.dev/stevens-institute-of-technology/",https://se-images.campuslabs.com/clink/images/f631eab7-3410-4532-99c7-51fd6b2b466c219ab759-3fab-437c-a493-bc3c143064a2.png?preset=small-sq
 Habitat for Humanity ,The Stevens Habitat for Humanity looks to serve the surrounding communities by volunteering its time and talents to help build homes for families in need.,https://se-images.campuslabs.com/clink/images/a04f9931-e1dc-4969-a2d7-7e2cf8fdb85b529289c5-7a02-49da-a634-3b0414e3c50d.jpg?preset=small-sq
 Health Professions Advisory Committee  ,Community of faculty that advise students looking into health professional graduate schools. ,
 Hillel ,"Hillel is the home for Jewish life at Stevens. We provide a fun and supportive space for all students to learn about Jewish heritage and connect with each other. No matter what your background is, we welcome you and can’t wait to meet you!",https://se-images.campuslabs.com/clink/images/3b6dafc8-80b1-4cd0-81c5-95cad7d3d513b1d46275-ddd2-4ac6-b028-e13f50578a08.jpg?preset=small-sq
 Ice Hockey  ,Ducks Hockey,https://se-images.campuslabs.com/clink/images/fd8d1866-30c8-4623-b3d9-a0d72047a04b3f291e42-3421-4794-8290-15121f050533.png?preset=small-sq
 IEEE Eta Kappa Nu - Iota Delta Chapter ,HKN is the honor society of IEEE. Juniors and Seniors in Electrical and Computer Engineering within the top 25% and 33% of their respective classes are invited to join.,https://se-images.campuslabs.com/clink/images/b5cd8e39-a1ba-48c1-8458-258883acf88e0a539bdc-ece6-495e-bcce-098693ef1a06.png?preset=small-sq
 Indian Undergraduate Association ,"Namaste &amp; Welcome Class of 2027! The Indian Undergraduate Association, IUA, is a registered student organization that promotes South Asian culture throughout Stevens Institute of Technology in Hoboken, New Jersey.",https://se-images.campuslabs.com/clink/images/c9710fe0-a685-4bc7-a9ac-e404cd94f91af4281630-eb8b-44cc-8ee1-98cd61cbae67.jpg?preset=small-sq
" Innovation, Design and Entrepreneurship at Stevens ",The IDEAS program integrates learning and technical design with entrepreneurial thinking to create an environment that fosters innovation. It helps students look beyond technical problems to identify and address problems with entrepreneurial and humani...,
 Institute of Electrical and Electronics Engineers ,"At Stevens IEEE, we help build up your professional network as well as sharpen your technical skills! We hold weekly GBM's on Mondays 9:15pm as well as events tailored around electrical and computer engineering, although all majors are welcome!",https://se-images.campuslabs.com/clink/images/4ed617f8-90c3-4065-965c-e5eb4c99b8f8ea9010ea-555b-4f9f-941b-d6fb48b9eda9.png?preset=small-sq
 Interfraternity Council ,"The IFC at Stevens Institute of Technology is a group directed to address the needs of the member fraternities, and operates as a model organization whose sole purpose is to self-govern, educate, and promote a true sense of community.The IFC functions ...",https://se-images.campuslabs.com/clink/images/dd89e20e-93fb-4bdc-b364-37c77a0faac59939d4cb-f702-4332-87de-5a8af6b5c0e1.jpg?preset=small-sq
 International Student and Scholar  ,"The ISSS office is committed to assisting international students, faculty and scholars in accomplishing their academic, personal and professional objectives through advising, providing immigration service to our international population. ",https://se-images.campuslabs.com/clink/images/1c6e474d-f4d6-41f8-9d95-6c02858e0f484ed267d7-0c4e-432c-893c-f754e81f0010.jpg?preset=small-sq
 Japanese Student Association ,The Japanese Student Association is a group of individuals who are passionate about bringing the traditions and pride of Japanese culture to campus in hopes that all Stevens students will be willing to experience the rich cultural heritage.,https://se-images.campuslabs.com/clink/images/d378a813-44c9-4740-aa08-04a6f8a5fe7cb2d93f13-45fb-49e2-b58c-6a64a67e9153.jpg?preset=small-sq
 Kappa Sigma Fraternity ,"Kappa Sigma Fraternity was brought to Stevens in January 2012.  We strongly believe in Fellowship, Leadership, Scholarship, and Service and giving back to the Stevens, Hoboken, and surrounding communities.",https://se-images.campuslabs.com/clink/images/2617486b-acde-493e-8948-0598762d499c7d3466e5-e572-4eba-8eab-414b2f8f123b.jpeg?preset=small-sq
 Korean Student Association ,"The purpose of this organization is to promote the welfare of the Stevens Korean Student Body and the Institution as a whole by means of providing Korean cultural activities for the Institute, and cooperation with other student organizations.",https://se-images.campuslabs.com/clink/images/927b9668-29c4-45ee-bd17-d3844a7368b5f9a52d0b-12ab-45dd-b641-39ea14caac74.jpg?preset=small-sq
" La Unidad Latina, Lambda Upsilon Lambda Fraternity, Inc. ","La Unidad Latina, Lambda Upsilon Lambda Fraternity, Inc. has been at the forefront of addressing the issues that affect the Latino community for the past 41 years and is dedicated to strengthening the representation of Latinos in higher education.",https://se-images.campuslabs.com/clink/images/840b10fc-94eb-4fb4-b759-c33a86f3690560cce7dd-0dcf-4416-9644-d8ba8c1d9b38.jpg?preset=small-sq
 Lacrosse Club ,We are the Stevens Lacrosse Club,
" Lambda Sigma Upsilon Latino Fraternity, Incorporated  ","For over 43 years, Lambda Sigma Upsilon’s mission has been to uplift and unite underrepresented communities by empowering tomorrow’s leaders. - Revolutionary since 1979. ",https://se-images.campuslabs.com/clink/images/005e9eee-3c88-4dfe-8751-917b3157519b571c9408-a174-4f27-a834-8ed28693412f.jpg?preset=small-sq
" Lambda Tau Omega Sorority, Incorporated ","Lambda Tau Omega Sorority, Incorporated is a multicultural sorority founded on October 9th, 1988, the day the legacy was born. Lambda Tau Omega Sorority, Inc. was founded on the principles of womyn empowerment, multiculturalism, and commitment to service",https://se-images.campuslabs.com/clink/images/e732f6d6-0122-49a3-af17-89afc0b5d2967394aee8-1391-4c0d-b85b-be30c5c3e508.jpg?preset=small-sq
 Latin American Association ," The Latin American Association is the perfect place to appreciate, embrace, and expose yourself to unique Latinx cultures. With a variety of events and activities, LAA would love to welcome you to our familia.
",https://se-images.campuslabs.com/clink/images/ee6d0458-a3c8-455d-9f11-f1a6db812f15ee4b4ceb-063f-4652-b13b-dcd15a3163db.png?preset=small-sq
 Lore-El Center Programs ,The mission of Lore-El at Stevens is to increase awareness to issues facing not only women but all genders; empower Stevens women to further their co-curricular development; and create a supportive and inclusive campus environment. ,https://se-images.campuslabs.com/clink/images/5a19f47e-2955-4cc3-b958-be44c8f062a6265645c8-b0c6-46ef-8af2-a1ceefc5b660.jpg?preset=small-sq
 Martial Arts and Self-Defense Club ,The Stevens Martial Arts and Self Defense Club was founded with the purpose of promoting the practice of martial arts amongst the student body. This club is for both people who know martial arts and self defense as well as for people who want to learn.,https://se-images.campuslabs.com/clink/images/e4b89b26-0944-4645-9366-0ba1ee71390caf523c34-37da-40c7-b7db-bd8b7ce8fd30.jpg?preset=small-sq
 Mechanical Engineering Student Advisory Council ,"Welcome to MECAS, join to learn more about the ME department, and what we have to offer!",https://se-images.campuslabs.com/clink/images/e47907e2-4c00-4983-99d8-6ca32daf1521c6b0eb9f-6a11-4d7b-8970-5a3da8ef28fb.png?preset=small-sq
 Men's Lacrosse ,Men's Lacrosse,
 Men's Volleyball  ,Men's Club Volleyball,https://se-images.campuslabs.com/clink/images/0b152552-67cb-490e-bea7-21f5bcc97278bee516cf-362d-430d-90fe-928fe0e4af2c.jpg?preset=small-sq
 Middle Eastern Student Association ,"The purpose this club is to establish a platform for Middle-Eastern students of Stevens to bond and relate to people of their own culture and to educate and share the traditions, food, current issues, and history with the rest of the student body.",https://se-images.campuslabs.com/clink/images/ecdb4aff-16c1-45e9-8597-f49058530628d0edffb7-c786-4853-849c-07048f8bbd53.jpg?preset=small-sq
 Muslim Student Association  ,"Stevens MSA aims to enable the Muslim community on campus to connect through communal prayers, religious celebrations, and other events. Additionally, Stevens MSA aims to engage with the broader Stevens community through service and interfaith events.",https://se-images.campuslabs.com/clink/images/004ef3bd-c69c-4018-b6e2-823c7793cc5c47ce28e3-6ed3-4138-a5c7-4ff6f2937695.jpg?preset=small-sq
 National Society of Black Engineers ,"The National Society of Black Engineers (NSBE) is the largest student run organization in the world! NSBE has three objectives for its members: to excel academically, succeed professionally and positively impact the community. ",https://se-images.campuslabs.com/clink/images/9d64a45b-656b-4b3e-b259-4209da355b8a6a323520-7733-489c-8086-89b389843f39.png?preset=small-sq
 Newman Catholic  ,"Newman Catholic Campus Ministry is committed to building the Kingdom of God on the campus of Stevens Institute of Technology. We seek to develop a community based on service, prayer and learning.",https://se-images.campuslabs.com/clink/images/3aff023e-b41d-4d89-b773-8ea0915de959c8524250-9734-4a96-baed-d7b86600dfea.png?preset=small-sq
" Nu Alpha Phi Fraternity, Inc. ","Nu Alpha Phi Fraternity Inc. professes to create a bond of brotherhood passed down from generation to generation, including lasting relationships between alumni and currently active members. Externally, it seeks to promote Asian-awareness, as well as to.",https://se-images.campuslabs.com/clink/images/7ddbfb13-1672-42bb-a75e-9fa23ddc194b41febfee-73dd-48f8-bebf-9ac3e9fb785a.jpg?preset=small-sq
 Off Center ,Off Center is Stevens' Premiere Sketch and Improv Comedy Group!,https://se-images.campuslabs.com/clink/images/dcb7cc32-ca63-4737-8852-f020ade399e239a196ba-d135-4c49-ac87-b62d2c08a689.png?preset=small-sq
 Office of Development and Alumni Engagement ,"Development and Alumni Engagement helps to engage our more than 50,000 alumni thriving across the globe. These proud Ducks join countless friends and partners who believe in the university’s mission. 

Attend an event or reach out to learn more!",https://se-images.campuslabs.com/clink/images/ff3dfe83-c1f8-476c-a3d5-c5634ca90d455270e272-4232-48d6-baa4-4d5c2b790d48.png?preset=small-sq
 Office of Disability Services  ,"The Office of Disability Services exists to assist in making sure that individuals with disabilities have opportunities for full participation and equal access to campus programs and services, in alignment with federal standards and state regulations. ",https://se-images.campuslabs.com/clink/images/cbeaed56-bfa2-4453-80ae-dd2eac98a520731c8a93-6eac-4911-831b-cc3e71eeae4f.png?preset=small-sq
 Office of International Programs ,"The Office of International Programs provides overall strategic direction and visibility for the internationalization efforts of Stevens Institute of Technology. These initiatives include study abroad, international partnerships and exchanges, internat...",https://se-images.campuslabs.com/clink/images/028726f2-694c-4722-a998-bf1cdfc46f88a2ab365f-d648-413a-aef8-0c154db1b8de.jpg?preset=small-sq
 Office of Residential &amp; Dining Services  ,"Living at Stevens provides students with a unique opportunity to become a part of a vibrant community that values learning, service and friendship. Whether you're applying to live in one of the university's residence halls, looking to live with students",
 Office of Residential Education  ,"The Office of Residential Education is committed to providing safe and inclusive communities that foster meaningful relationships and create opportunities for learning outside of the classroom.  

",https://se-images.campuslabs.com/clink/images/4962fbd1-0b41-45d3-a8cd-a4118e7be4ed62a10b56-ac69-43a5-97b5-4536dc2a0243.jpg?preset=small-sq
